6070.jpg,"يشهد ميدان واسع تشكيلاً كبيراً يضم عدداً من الأشخاص يرتدون ملابس بألوان الأحمر والأبيض والأزرق، حيث تنتظم فرق موسيقية استعراضية ضمن هذا التشكيل على أرض الملعب. يقف الحشد في صفوف متعددة ومختلفة عبر المساحة المفتوحة من الميدان. تتشكل المجموعة من أشخاص يصطفون في خطوط فردية على أرض الملعب.",,
6071.jpg,"يجلس رجل على كرسي معدني أزرق في الشارع، خلف لوحين من الورق المقوى أو ما يشبه قطعتين من الخشب. يتواجد هذا الرجل في الهواء الطلق بالقرب من ما يبدو كلوحات فنية كبيرة. بالتالي، يظهر الرجل جالساً على الكرسي الأزرق، محاطاً بهذه الأعمال أو المواد الفنية.",,
6072.jpg,"يظهر كلب وهو يحمل عصا بفمه أثناء سيره في الماء، حيث يخرج كلب بني كبير وهو يحمل العصا من الماء. يبدو الكلب مبتلاً ويقوم بمهمة استرداد العصا. هذه اللقطات تلتقط مشهد كلب يستمتع باللعب أو التدريب في الماء.",,
6073.jpg,"يركب صبي صغير يرتدي قميصاً أبيض وخوذة خضراء لوح التزلج الخاص به نزولاً من بعض الدرجات، حيث يظهر الطفل وهو يقفز بلوحه في الهواء مرتدياً خوذة وقفازات. يؤدي هذا الفتى الصغير مجموعة من الحركات البهلوانية باستخدام لوح التزلج، بما في ذلك إكمال قفزة بنجاح. إنه يمارس خدعة مميزة بلوح التزلج.",,
6074.jpg,"يركض كلب أسود في منتصف حقل عبر طريق ترابي، حيث يُلاحظ تكرار هذا المشهد مع كلب أسود آخر يرتدي منديلاً حول عنقه. كما تظهر أيضاً لقطة لكلب بني يركض على طول الطريق الترابي نفسه. بالتالي، تتنوع صور الكلاب وهي تجري على الطريق الترابي ضمن هذا المشهد الطبيعي المفتوح.",,
6075.jpg,"تجري مباراة هوكي يشارك فيها ثلاثة لاعبين، حيث يقوم حارس المرمى بتغطية شباكه بينما يلاحق لاعبان آخران قرص الهوكي بسرعة. يتجمع مجموعة من لاعبي الهوكي حول الهدف في هذه اللعبة. يتحرك اللاعبون بخطى سريعة نحو القرص في حماس اللعب.",,
6076.jpg,"يظهر شخص يقفز عالياً فوق لوح التزلج الخاص به في الشارع، حيث يطير المتزلج في الهواء أثناء أدائه خدعة بهلوانية في بيئة حضرية. التُقطت صورة للشاب في منتصف قفزة مع وجود لوح التزلج بين ساقيه، في حين يبتعد اللوح عنه قليلاً وهو يحاول إنهاء القفزة. هذه اللقطات توثق لحظة مثيرة وحماسية لرياضة التزلج.",,
6077.jpg,"يظهر كلب بني وهو يمرح بالفقاعات على العشب الأخضر، حيث يمشي الكلب البني الداكن في الحديقة بينما تطفو الفقاعات من حوله. يبدو الكلب وهو ينظر إلى هذه الفقاعات بينما يتجول على العشب الأخضر. يلاحق الكلب البني الفقاعات ويفرقعها.",,
6078.jpg,"يظهر رجل يرتدي سروالاً بلون القهوة ويحمل زجاجة ويتحدث إلى ضابطي أمن بزيّ أسود موحد أمام ملصق كبير. يتناقش الرجل مع حارسين أو شرطيين، وهو يمسك بمشروب أو زجاجة صودا. يجري ضابطا إنفاذ القانون مرتدين الزي الرسمي محادثة مع هذا الرجل.",,
6079.jpg,"تجلس مجموعة من الأصدقاء حول طاولة أمام تلفزيون ذي شاشة مسطحة، حيث تقوم امرأة شقراء بصب النبيذ للحاضرين بينما يشاهدون التلفزيون. يجلس العديد من الأشخاص حول الطاولة وهم يشربون النبيذ. يستمتع الرجال والنساء بالنبيذ أثناء مشاهدة التلفزيون.",,
6080.jpg,"يستعد لاعب بيسبول للمباراة وهو يمسك بمضربة، حيث يظهر صبي صغير وهو يتجهز للعب البيسبول. يشارك شخص يرتدي زي بيسبول أزرق وأبيض في اللعبة، وهو يقف على قدم واحدة بينما يمسك بمضرب. هذه اللقطات توثق استعداد اللاعبين للعب البيسبول.",,
6081.jpg,"تظهر امرأة ترتدي معطفاً أصفر أو سترة صفراء، وتعتمر قبعة بنية، وهي تقف على الرصيف أو على ممر بجانب بحيرة. تُرى هذه المرأة الشابة وهي ترتدي نظارات شمسية وجينز وحذاءً أبيض، كما تُرى في مكان آخر وهي تنتظر تحت تمثال في إحدى الحدائق. هذه السيدة، التي ترتدي قبعتها، تحدق في المسافة بداخل الحديقة التي يتوسطها التمثال.",,
6082.jpg,"الكلب الأبيض يركض وهو يمسك كرة تنس في فمه بينما يرافقه كلب آخر. الكلبان يلهوان معًا في العشب الطويل، أحدهما يحمل الكرة أثناء الجري. هذان الكلبان يتنزهان في الحقل، ويستمتعان بوقتهما.",,
6083.jpg,كلب داشهند يقفز عبر العشب القصير. يركض كلب صغير بني في العشب أمام كلب آخر وصاحبيهما. الكلب البني الصغير يتخطى كلبًا آخر أثناء الجري في الحشائش.,,
6084.jpg,"تحلق الطيور على ارتفاع منخفض بأجنحة ممدودة ومفردوة. ويمكن مشاهدة البومة، وهي طائر ليلي، تحلق بأجنحة واسعة ومفتوحة حتى في وضح النهار. هذه المشاهد توضح جمال الطيران وقدرة الطيور المختلفة على التحليق.",,
6085.jpg,تقف طفلتان صغيرتان خارجاً على طريق ترابي في الهند وهما تبتسمان للكاميرا. الفتاتان داكنتا البشرة تبتسمان وتضحكان. تقف الفتاتان الصغيرتان في الطريق وتضحكان بابتهاج.,,
6086.jpg,مجموعة من أربعة كلاب تركض وتلعب في حقل أخضر مع خلفية من الزهور الصفراء. الكلبان البنيان والأبيضان يلهوان معاً في الحشائش. الكلاب الصغيرة تجري في المرج الأخضر.,,
6087.jpg,امرأة وفتاة صغيرة تبتسمان للكاميرا وتتخذان وضعية التصوير أمام بعض الزهور. تقف المرأة مع الفتاة الصغيرة في حديقة أمام شجيرة مزهرة. تجلس المرأة ذات الشعر البني وبحضنها فتاة صغيرة بجوار أزهار حمراء.,,
6088.jpg,ثلاثة أشخاص يقفون في الهواء الطلق على ممر ترابي وبجانبه عشب وهم يلتقطون الصور. امرأة تلتقط صورة بجوار رجل طويل بينما رجل آخر يصور أيضاً. يحمل الأشخاص الثلاثة كاميراتهم ويستعدون للتصوير.,,
6089.jpg,رجل يرتدي سترة مبطنة بيضاء يقف في ساحة مبنية من الطوب وهو يحمل لافتة. يمسك الرجل لافتة ويمسك مقود كلب صغير أسمر يرافقه. يقف الرجل مع كلبه في الميدان وهو يحمل العلامة.,,
6090.jpg,كلب أسود وأبيض صغير يركض وهو يحمل دلواً أحمر في فمه. الكلب يحمل الدلو الصغير الأحمر أثناء جريه. يجري الكلب ذو اللونين الأسود والأبيض وهو يحمل جردلاً في فمه.,,
6091.jpg,رجل وامرأة يجلسان على مقعد في حديقة ويحملان ولدين صغيرين وهما يتخذان وضعية التصوير. يجلس البالغان والطفلان على مقعد الحديقة مع الزهور في الخلفية. يجلس الكبار والصغار الأربعة لالتقاط صورة عائلية.,,
6092.jpg,رجل يرتدي سترة حمراء وسوداء وبيضاء يقوم بحركة رفع العجلة الأمامية على دراجته النارية. يقوم الرجل بمد ساقيه إلى الخارج أثناء الحركة البهلوانية. السائق يرفع ساقيه في الهواء وهو يقود دراجته النارية.,,
6093.jpg,رجل يرتدي تنورة باليه قصيرة سوداء (توتو) وهو يتزلج على الماء في بحيرة محاطة بالثلج. المتزلج على الماء يتحرك عبر الماء بينما يراقب الناس من الخلفية. شخص يرتدي التنورة السوداء يتزلج على الماء في فصل الشتاء.,,
6094.jpg,يقوم سائق دراجة بي إم إكس بأداء خدعة بهلوانية في الجو فوق مسار ترابي وعر. يظهر الصبي على دراجته وهو يقفز فوق تلال رملية قرب النهر. الشخص يقفز فوق تل على دراجته بالقرب من النهر.,,
